Agency,URL,Title,Description,Identifier,Access
Consumer Finance,http://data.consumerfinance.gov/api/views/x94z-ydhh.json,Consumer Complaint Database,These are complaints we‰Ûªve received about financial products and services.,CCDB,public
Consumer Finance,https://api.consumerfinance.gov/data/hmda/slice/hmda_lar.json,Home Mortgage Disclosure Act Data for the years 2007-2013,"The Home Mortgage Disclosure Act (HMDA) requires many financial institutions to maintain, report, and publicly disclose information about mortgages",hmda_lar,public
US AID,http://aiddata.org/use-aiddatas-api,AidData,"AidData is a research and innovation lab making information on development finance more accessible and actionable. Tracking more than $6 trillion dollars from 90+ donor agencies, AidData undertakes cutting-edge research on aid distribution and impact, geocodes and crowdsources aid information, and develops applications and custom data solutions for diverse stakeholders. The AidData team works with a wide range of partner organizations to collect, visualize, and analyze development finance for more effective development policy, practice, and research.",49fc4b3c-c556-4552-8551-797c1a84c83c,public
US AID,http://api.dhsprogram.com,DHS STATCompiler,The DHS Program STATcompiler allows users to make custom tables based on hundreds of demographic and health indicators across more than 70 countries.,62a927d0-74e7-4802-96c2-90e78c85608c,public
US AID,http://www.usaid.gov/developer/development-experience-clearinghouse-dec-api,Development Experience Clearinghouse (DEC),"The DEC is a publicly available document repository for over 160,000 technical and programmatic documents related to USAID programming that is managed by USAID's Knowledge Services Center in the CIO. Users can search and view the majority of documents that are submitted by both implementing partners and USAID staff.",dd4fe488-3c50-4d57-92f7-48a4e6578069,public
US AID,http://explore.data.gov/resource/7swc-ittd.json,Development Credit Authority (DCA) Data Set: Loan Transactions,"USAID's Development Credit Authority (DCA) works with investors, local financial institutions, and development organizations to design and deliver investment alternatives that unlock financing for U.S. Government priorities. USAID guarantees encourage private lenders to extend financing to underserved borrowers in new sectors and regions. This dataset is the complete list of all private loans made under USAID's DCA since it was established in 1999. To protect the personal information of borrowers and bank partners, all strategic and personal identifiable information was removed.",854d1b81-a517-4966-957c-5428fb4c1821,public
US AID,http://labs.data.gov/databeam/stephaniefaith/utilization-and-claims,Development Credit Authority (DCA) Data Set: Guarantee Utilization and Claims,"USAID's Development Credit Authority (DCA) works with investors, local financial institutions, and development organizations to design and deliver investment alternatives that unlock financing for U.S. Government priorities. Whether it's getting working capital to promising entrepreneurs or input financing to small farmers, DCA seeks to prove the commercial viability of underserved markets so that lending and investment continues long after we exit. The Development Credit Authority (DCA) uses partial credit guarantees to mobilize local financing in developing countries. Guarantee agreements encourage private lenders to extend financing to underserved borrowers in new sectors and regions. By opening up local channels of financing, USAID is empowering entrepreneurs in developing countries at a minimal cost to the U.S. taxpayer. This USAID dataset shows the partial credit guarantees that USAID has issued since the development credit authority program was founded in 1999. The spreadsheet reflects the full facility size of each guarantee, how much was lent under the guarantee, the status of the guarantee (i.e., active or expired), how much in claims the bank submitted due to losses it incurred for loans placed under the guarantee, and how many loans were placed under coverage of the guarantee. The data also shows the sector and country for each guarantee.",31fbe412-d87a-41b1-bf62-259895057f79,public
SBA,http://dsbs.sba.gov/dsbs/search/dsp_dsbs.cfm,Dynamic Small Business Search (DSBS),"DSBS is a search tool that accesses information pooled from internal HubZone, 8(a) and SDB offices as well as the external Central Contractor Registration system (CCR)/System for Award Management (SAM). This system is used by small businesses to increase their visibility to government and business procurement offices searching for small businesses to meet small business contracting goals.",SBA-GCDB-2013-11-001,public
SBA,http://api.sba.gov/doc/rec_sites.html#all,"Recommended federal, state and local websites","The Recommended Sites data set includes links to federal, state and local websites that are boosted to the top of organic search results for åÒlong-tailåÓ queries to improve the relevancy of web search results. Recommend Sites are editorially reviewed by humans on the SBA.gov team, and represent the best resources when an individual is seeking information on a particular keyword.",SBA-OCIO-2015-02-016,public
SBA,http://api.sba.gov/doc/rec_sites.html#keyword,Recommended Sites by Keyword,"The Recommended Sites data set includes links to federal, state and local websites that are boosted to the top of organic search results for åÒlong-tailåÓ queries to improve the relevancy of web search results when an individual is seeking information on a particular keyword",SBA-OCIO-2015-02-015,public
SSA,http://www.socialsecurity.gov/developer/api/HearingOfficeAverageProcessingTime,Hearing Office Average Processing Time Ranking Report,A ranking of ODAR hearing offices by the average number of days until final disposition of the hearing request. The average shown will be a combined average for all cases completed in that hearing office. Users will be able determine where a particular hearing office stands among the total with respect to this workload category.,US-GOV-SSA-302,public
SSA,http://www.socialsecurity.gov/developer/api/HearingOfficeWorkloadData,Hearing Office Workload Data,"A presentation of four key workload indicators (pending, receipts, dispositions and average processing time) for each hearing office in the Office of Disability Adjudication and Review (ODAR).",US-GOV-SSA-303,public
SSA,http://www.socialsecurity.gov/developer/api/HearingOfficeTimeUntilHearingHeld,Average Wait Time Until Hearing Held Report (formerly NETSTAT Report),A presentation of the average time (in months) from the hearing request date until a hearing is held for claims pending in the Office of Disability Adjudication and Review's hearing offices. Allows users to estimate the amount of time they may have to wait for a hearing to be held.,US-GOV-SSA-304,public
GSA,http://jobcenter.usa.gov/apis,American Job Center Resource API,American Job Center partners with O'Net to provide a variety of APIs useful for jobseekers.,GSA - 138668,public
GSA,http://business.usa.gov/apis,Auction Sale Data,"This dataset contains sale data information for Agency reported items sold via GSA Auctions&reg; Sales. The data is for closed sales during FY2009. GSA Auctions&reg; offers the public the opportunity to bid electronically on a wide array of Federal assets. The auctions are completely web-enabled, allowing all registered participants to bid on a single item or multiple items (lots) within specified timeframes. GSA Auctions&reg; sale items include communications, computer, electric, electronic, agricultural, office, photographic, marine, laboratory, medical, dental and veterinary supplies and equipment; trailers, tractors, bicycles and salvage/scrap vehicles; furniture, household and personal items, industrial machinery, jewelry and collectibles. GSA Auctions&reg; is accessible at http://www.gsaauctions.gov. Unregistered users may browse the site. Registration is required for bidders.",GSA-4145,public
GSA,http://www.usa.gov/About/developer-resources/social-media-registry.shtml#tags,Citizen Topics API,This API lists the topics that we use to organize content on USA.gov. You can access it via the /tags call to the Social Media Registry.,GSA - 138670,public
GSA,https://inventory.data.gov/dataset/city-pair-program/resource/02c2b1c6-a42d-4a10-9e8b-9cf06e54a82b,City Pair Program API,This API access to City Pair Program FY15 Award data,GSA - 155327,public
